,user,type,tgt
9,Test User 1601 ,MT,एक सियार और खरगोश सबसे अच्छे दोस्त थे 
10,Test User 1601 ,MT,एक दिन सियार की पत्नी बीमार थी । 
11,Test User 1601 ,MT,"सियार ने खरगोश को बुलाया और कहा , मेरी पत्नी बुखार है "
12,Test User 1601 ,MT,उसे कुछ भी खाने की इच्छा नहीं होती 
13,Test User 1601 ,MT,अब वह कहती है कि वह एक केकड़ा खा सकती है 
14,Test User 1601 ,MT,"खरगोश ने कहा , चलो , हम उसके लिए एक केकड़ा लाते हैं "
15,Test User 1601 ,MT,दोनों दोस्त निकल पड़े केकड़ा ढूँदने 
16,Test User 1601 ,MT,खरगोश एक दिशा में गया और सियार दूसरी दिशा में 
17,Test User 1601 ,MT,खरगोश ने जल्दी ही मिट्टी में एक छेद देखा  
18,Test User 1601 ,MT,उसने अंदर झाँका और देखा एक मोटा सा केकड़ा अंदर बैठा था 
19,Test User 1601 ,MT,"यह ठीक रहेगा, खरगोश ने सोचा "
20,Test User 1601 ,MT,उसने अपना हाथ छेद में धीरे से डाला जो की काफी गहरा था  
21,Test User 1601 ,MT,जब उसका हाथ केकड़े तक नहीं पहुंचा तो खरगोश ने अपनी पूंछ छेद में डाल दी । 
22,Test User 1601 ,MT,केकड़े ने उसकी पूंछ को ज़ोर से काटा और पकड़ लिया 
23,Test User 1601 ,MT,बेचारा खरगोश जोर से चिल्लाया 
24,Test User 1601 ,MT,सियार ने उसकी आवाज़ सुनी और भागता हुआ उसके पास आया । 
25,Test User 1601 ,MT,"खरगोश ने साँस ली , मुझे देखते मत रहो "
26,Test User 1601 ,MT,"मेरी दुम अंदर फँस गई है , मुझे बाहर खींचo"
27,Test User 1601 ,MT,सियार ने उसे कान से पकड़ लिया और अपनी सारी शक्ति के साथ उसे खींचा 
28,Test User 1601 ,MT,जब उसने पूंछ को हिलता देखा तो केकड़े ने खरगोश की पूंछ को फिर से काटा 
29,Test User 1601 ,MT,खरगोश दर्द के मारे चिल्लाया और कूद गया 
30,Test User 1601 ,MT,उसकी पूंछ कट गई और छेद में पीछे रह गयee
31,Test User 1601 ,MT,siyaar ke kheenchane ke baad uske kaan bahut lambe ho gaye the 
32,Test User 1601 ,MT,us din se khargosh ki poonch chhoti hai aur kaan lambe hain 
33,Test User 1601 ,MT,jab subah meri neend khuli to sooraj phir se chamak raha tha 
34,Test User 1601 ,MT,maine charon or dekha sochte hue ki main kahan hun 
35,Test User 1601 ,MT,aur phir mujhe yaad aaya 
36,Test User 1601 ,MT,"main ek chhota samudree kachhuaa tha, olive ridley - ek badi neeli duniya ke beech mein , jise maine sunaa tha ki mahasaagar kehte hain. "
