id,translatedSet,src,tgt
8698,Test User 401 | Turtle Story PE L4 | Hindi -> English,कछुआ,Tortoise.
8697,Test User 401 | Turtle Story PE L4 | Hindi -> English,सुबह जब मेरी आँख खुली तो आसमान में सूरज चम - चम चमक रहा था,"When my eyes opened in the morning, the sun was burning bright in the sky. "
8696,Test User 401 | Turtle Story PE L4 | Hindi -> English,हैरान होकर मैंने अपने आसपास देखा,"Surprised, I looked around myself. "
8695,Test User 401 | Turtle Story PE L4 | Hindi -> English,पहले तो चकरा गई कि मैं हूँ कहाँ फिर एकदम याद आया कि मैं एक छोटा सा समुद्री कछुआ हूँ - एक ऑलिव रिडले,"First I was wondering where I was, then I remembered I was a small sea turtle - an olive ridley. "
8694,Test User 401 | Turtle Story PE L4 | Hindi -> English,"एक असीम नीले संसार के बीचोंबीच , जिसे लोग सागर कहते हैं","In the middle of an infinite blue world, which people call the sea."
8693,Test User 401 | Turtle Story PE L4 | Hindi -> English,"चारों ओर नीला , हरा पानी लहरा रहा था और सूरज की किरणें बादलों के साथ खेल - ठिठोली कर रही थीं","Blue, green water was sparkling all around and the rays of the sun were playing with the clouds. "
8692,Test User 401 | Turtle Story PE L4 | Hindi -> English,मैनें अपने मीनपक्षों ( फ़्लिपर ) १ को पेट त¬ले समेटा और धारा में बह निकली,I collected my meenpaksh (flipper) 1 in my stomach and floated along the stream. 
8691,Test User 401 | Turtle Story PE L4 | Hindi -> English,मुझे नहीं मालूम था कि मैं कहाँ हूँ,I didn't know where I was. 
8690,Test User 401 | Turtle Story PE L4 | Hindi -> English,लेकिन जब आसपास नर्म - नर्म धूप बिछी हो और पेटपूजा हो चुकी हो तो ऐसी बातों की क्या चिंता,"But when there is soft sunshine around and the stomach is full, then what's the worry about such things? "
8689,Test User 401 | Turtle Story PE L4 | Hindi -> English,गुनगुनी धूप में मैं भी गुनगुनी हो गई,I also became warm in the warm sun. 
8688,Test User 401 | Turtle Story PE L4 | Hindi -> English,एक नई स्फूर्ति आ गई थी मुझमें,A new vigour had come in me. 
8687,Test User 401 | Turtle Story PE L4 | Hindi -> English,काश कि मैं हमेशा - हमेशा के लिए यहीं रह सकती - सोच ही रही थी कि मछलियों का एक झुंड मेरे पास होकर तेज़ी से निकला,Wish I could always stay here - was just thinking that a shoal of fish passed by me in speed. 
8686,Test User 401 | Turtle Story PE L4 | Hindi -> English,एक बहुत बड़ी मछली उनके पीछे पड़ी थी,A very big fish was after them.  
8685,Test User 401 | Turtle Story PE L4 | Hindi -> English,बहुत भूखी लगती थी वह,She looked very hungry. 
8684,Test User 401 | Turtle Story PE L4 | Hindi -> English,मेरा शक सही था,My doubt was right. 
8683,Test User 401 | Turtle Story PE L4 | Hindi -> English,जब उसकी नज़र मुझ पर पड़ी तो उसकी बाँछें खिल गईं,"When his eyes fell on me, he was extremely happy. "
8682,Test User 401 | Turtle Story PE L4 | Hindi -> English,भई वाह,Brother great!
8681,Test User 401 | Turtle Story PE L4 | Hindi -> English,आज तो नन्हे कछुए का शोरबा मिलेगा खाने में,"Today , the curry of the little tortoise will be served in food. "
8680,Test User 401 | Turtle Story PE L4 | Hindi -> English,शायद वह यही सोच रही थी,Maybe she was thinking the same. 
8679,Test User 401 | Turtle Story PE L4 | Hindi -> English,१ ( फ़्लिपर ) कछुए के पर जिनके सहारे वह पानी में तैरता है,1 (flipper) tortoise depending on whom it swims in the water. 
8678,Test User 401 | Turtle Story PE L4 | Hindi -> English,तब तो मानो मैं सर पर पैर रख कर तैरने लगी,"Then , as if I started swimming with my feet on the head. "
8677,Test User 401 | Turtle Story PE L4 | Hindi -> English,आगे - आगे मैं और पीछे - पीछे बड़े - बड़े दाँतों का वह जबड़ा,Me ahead and that jaw of big teeth behind me. 
8676,Test User 401 | Turtle Story PE L4 | Hindi -> English,तैरते - तैरते थक गई थी मैं,I was tired swimming. 
8675,Test User 401 | Turtle Story PE L4 | Hindi -> English,तभी मुझे समुद्री शैवाल का एक बेड़ा दिखाई दिया,Then I saw a fleet of marine algae.
8674,Test User 401 | Turtle Story PE L4 | Hindi -> English,शैवाल और बहती हुई लकड़ी का यह बेड़ा न जाने कहाँ से चला आ रहा है,Who knows where this floating fleet of algae and wood is coming from??
8673,Test User 401 | Turtle Story PE L4 | Hindi -> English,"इस बेड़े पर समुद्र में रहने वाले छोटे - बड़े जीव - जंतु सवार रहते हैं , वर्षों सागर की सैर करते हैं जैसे किसी ख़ास वक्त का इंतज़ार कर रहे हों",Big and small animals live on the fleet travel the seas for years as they waiting for an important moment..
