id,user,corpus,langtolang
503,test_user_1101,थोड़ी सी मदद MT L4 | English,English -> Hindi
502,test_user_1101,खरगोश के लम्बे कान BL L2 | English,English -> Hindi
501,test_user_1101,कछुआ BL L4 | English,English -> Hindi
500,test_user_1101,नानी की ऐनक PE L2 | English,English -> Hindi
499,interact,Test Corpus Identity | Hindi,Hindi -> English
498,test_user_1601,खरगोश के लम्बे कान MT L2 | English,English -> Hindi
497,test_user_1601,कछुआ MT L4 | English,English -> Hindi
496,test_user_1601,मेरे पलंग के नीचे PE L2 | English,English -> Hindi
495,test_user_1601,थोड़ी सी मदद PE L4 | English,English -> Hindi
494,test_user_1601,नानी की ऐनक BL L2 | English,English -> Hindi
493,test_user_1601,मसाला चाय BL L4 | English,English -> Hindi
492,test_user_801,नानी की ऐनक MT L2 | English,English -> Hindi
491,test_user_801,थोड़ी सी मदद PE L4 | English,English -> Hindi
490,test_user_801,कछुआ MT L4 | English,English -> Hindi
489,test_user_801,खरगोश के लम्बे कान PE L2 | English,English -> Hindi
488,test_user_801,मेरे पलंग के नीचे BL L2 | English,English -> Hindi
487,interact,sand_test1 | English,English -> Hindi
486,interact,Test_sand | Hindi,Hindi -> English
485,test_user_801,कछुआ BL L4 | English,English -> Hindi
484,test_user_801,First day at School | Hindi,Hindi -> English
483,test_user_1001,कछुआ PE L4 | English,English -> Hindi
482,test_user_1001,खरगोश के लम्बे कान BL L2 | English,English -> Hindi
481,test_user_1001,थोड़ी सी मदद BL L4 | English,English -> Hindi
480,test_user_1101,मसाला चाय PE L4 | English,English -> Hindi
479,test_user_1101,मेरे पलंग के नीचे MT L2 | English,English -> Hindi
477,test_user_1401,मसाला चाय MT L4 | English,English -> Hindi
476,test_user_1401,खरगोश के लम्बे कान PE L2 | English,English -> Hindi
475,test_user_1401,नानी की ऐनक MT L2 | English,English -> Hindi
474,test_user_1401,कछुआ PE L4 | English,English -> Hindi
473,test_user_1401,मेरे पलंग के नीचे BL L2 | English,English -> Hindi
472,test_user_1401,थोड़ी सी मदद BL L4 | English,English -> Hindi
471,interact,मसाला चाय MT L4 | English,English -> Hindi
470,user_201,Jungle Brew MT L4 | Hindi,Hindi -> English
469,test_user_301,Turtle Story PE L4 | Hindi,Hindi -> English
468,user_201,At Least I'm Ok MT L3 | Hindi,Hindi -> English
467,test_user_301,Monsoon | Hindi,Hindi -> English
466,test_user_301,Whats That Smell PE L3 | Hindi,Hindi -> English
465,test_user_301,The Rabbit's Long Ears MT L2 | Hindi,Hindi -> English
464,test_user_301,The Moon and The Cap MT L1 | Hindi,Hindi -> English
463,test_user_301,Under My Bed PE L2 | Hindi,Hindi -> English
462,test_user_301,Didi and Children | Hindi,Hindi -> English
461,test_user_601,Jungle Brew MT L4 | Hindi,Hindi -> English
460,test_user_601,At Least I'm Ok MT L3 | Hindi,Hindi -> English
459,test_user_301,My Home PE L1 | Hindi,Hindi -> English
458,test_user_301,A Helping Hand BL L4 | Hindi,Hindi -> English
457,test_user_1302,A Helping Hand MT L4 | Hindi,Hindi -> English
456,test_user_1302,How to be an Otter MT L3 | Hindi,Hindi -> English
455,test_user_1302,All Aboard MT L2 | Hindi,Hindi -> English
454,test_user_1302,My Best Friend MT L1 | Hindi,Hindi -> English
453,test_user_1302,Jungle Brew PE L4 | Hindi,Hindi -> English
452,test_user_1401,A Helping Hand MT L4 | Hindi,Hindi -> English
451,test_user_401,Jungle Brew MT L4 | Hindi,Hindi -> English
450,test_user_401,At Least I'm Ok MT L3 | Hindi,Hindi -> English
449,test_user_801,Turtle Story MT L4 | Hindi,Hindi -> English
448,test_user_1201,A Helping Hand MT L4 | Hindi,Hindi -> English
447,test_user_1201,Under My Bed BL L2 | Hindi,Hindi -> English
446,test_user_1201,My Home BL L1 | Hindi,Hindi -> English
