id,translatedSet,src,tgt
11492,Admin | Test Corpus Identity | Hindi -> English,"&quot; देखो बाला भैया , मुझे क्या मिला है , एक पुराना लट्टू",
11491,Admin | Test Corpus Identity | Hindi -> English,&quot; प्रिया ने कहा,
11490,Admin | Test Corpus Identity | Hindi -> English,"पमबरम नाम के लट्टू , के तो जैसे कान खड़े हो गये , &apos;आहा : आखिर किसी ने मुझे ढूँढ़ ही लिया",
11489,Admin | Test Corpus Identity | Hindi -> English,अलमारी में सबसे नीचे पड़े - पड़े मैं बिलकुल उकता गया था,
11488,Admin | Test Corpus Identity | Hindi -> English,"&apos; बाला ने कपड़े से धूल में पड़े लट्टू को साफ़ करते हुए सोचा , &apos;किसी समय यह लट्टू बड़ा सुंदर रहा होगा",
11487,Admin | Test Corpus Identity | Hindi -> English,&apos; पमबरम की हरी और नीली धारियों का रंग समय के साथ - साथ फीका पड़ गया था,
11486,Admin | Test Corpus Identity | Hindi -> English,बच्चे उस लट्टू को लेकर मणि चाचा के पास पहुँच गये,
11485,Admin | Test Corpus Identity | Hindi -> English,मणि चाचा तो पमबरम को देख कर बहुत खुश हो गये,
11484,Admin | Test Corpus Identity | Hindi -> English,जब वह छोटे बच्चे थे तब उनका यह सबसे मनपसंद खिलौना हुआ करता था,
11483,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,a jackal and a rabbit were the best of friends,एक सियार और खरगोश सबसे अच्छे दोस्त थे 
11482,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,one day the jackals wife was not feeling well,एक दिन सियार की पत्नी बीमार थी । 
11481,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"the jackal called the rabbit and said , my wife has fever","सियार ने खरगोश को बुलाया और कहा , मेरी पत्नी बुखार है "
11480,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,she does not feel like eating anything,उसे कुछ भी खाने की इच्छा नहीं होती 
11479,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,now she says she could eat a crab,अब वह कहती है कि वह एक केकड़ा खा सकती है 
11478,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"the rabbit said , let us go and get a crab for her","खरगोश ने कहा , चलो , हम उसके लिए एक केकड़ा लाते हैं "
11477,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,both the friends set off to find a crab,दोनों दोस्त निकल पड़े केकड़ा ढूँदने 
11476,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the rabbit went in one direction and the jackal in another,खरगोश एक दिशा में गया और सियार दूसरी दिशा में 
11475,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the rabbit soon spotted a hole in the mud,खरगोश ने जल्दी ही मिट्टी में एक छेद देखा  
11474,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,he peeped in and saw a fat crab sitting inside,उसने अंदर झाँका और देखा एक मोटा सा केकड़ा अंदर बैठा था 
11473,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"this will be perfect , thought the rabbit","यह ठीक रहेगा, खरगोश ने सोचा "
11472,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,he carefully put his hand in the hole which was quite deep,उसने अपना हाथ छेद में धीरे से डाला जो की काफी गहरा था  
11471,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"when his hand could not reach the crab , the rabbit put his tail into the hole",जब उसका हाथ केकड़े तक नहीं पहुंचा तो खरगोश ने अपनी पूंछ छेद में डाल दी । 
11470,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the crab bit his tail hard and held it tight,केकड़े ने उसकी पूंछ को ज़ोर से काटा और पकड़ लिया 
11469,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the poor rabbit cried loudly,बेचारा खरगोश जोर से चिल्लाया 
11468,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the jackal heard him and came running to him,सियार ने उसकी आवाज़ सुनी और भागता हुआ उसके पास आया । 
11467,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"the rabbit gasped , do not just look at me","खरगोश ने साँस ली , मुझे देखते मत रहो "
11466,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"my tail is caught inside , pull me out","मेरी दुम अंदर फँस गई है , मुझे बाहर खींचo"
11465,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the jackal caught him by the ears and pulled with all his might,सियार ने उसे कान से पकड़ लिया और अपनी सारी शक्ति के साथ उसे खींचा 
11464,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"when he saw the tail move , the crab bit the rabbits tail again",जब उसने पूंछ को हिलता देखा तो केकड़े ने खरगोश की पूंछ को फिर से काटा 
11463,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,the rabbit yelled in pain and jumped,खरगोश दर्द के मारे चिल्लाया और कूद गया 
11462,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,his tail got cut and was left behind in the hole,उसकी पूंछ कट गई और छेद में पीछे रह गयee
11461,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,"his ears had become very , very long after the jackal had pulled them",siyaar ke kheenchane ke baad uske kaan bahut lambe ho gaye the 
11460,Test User 1601 | खरगोश के लम्बे कान MT L2 | English -> Hindi,since that day the rabbits tail is short and his ears long,us din se khargosh ki poonch chhoti hai aur kaan lambe hain 
11459,Test User 1601 | कछुआ MT L4 | English -> Hindi,"when i woke up in the morning , the sun was shining again",jab subah meri neend khuli to sooraj phir se chamak raha tha 
11458,Test User 1601 | कछुआ MT L4 | English -> Hindi,"i looked around me , wondering where i was",maine charon or dekha sochte hue ki main kahan hun 
11457,Test User 1601 | कछुआ MT L4 | English -> Hindi,and then i remembered,aur phir mujhe yaad aaya 
11456,Test User 1601 | कछुआ MT L4 | English -> Hindi,"i was a baby sea turtle - an olive ridley - in the middle of a big blue world , which i had heard someone call the ocean","main ek chhota samudree kachhuaa tha, olive ridley - ek badi neeli duniya ke beech mein , jise maine sunaa tha ki mahasaagar kehte hain. "
11455,Test User 1601 | कछुआ MT L4 | English -> Hindi,"there was blue and green water in every direction , and the sunlight was playing games with the clouds","neela aur haraa paani har disha mein tha , aur sooraj badlon ke saath athkheliyaan khel raha tha "
11454,Test User 1601 | कछुआ MT L4 | English -> Hindi,"i tucked my flippers beneath my body and floated for a while , letting the current carry me",maine apne pairon on apne shareer ke peeche kiya aur paani ke bahaav ke saath thodi der tairta raha 
11453,Test User 1601 | कछुआ MT L4 | English -> Hindi,i did not know where i was,mijhe nahin pata tha ki main kahan hun 
11452,Test User 1601 | कछुआ MT L4 | English -> Hindi,"but that does not matter when the sun is shining , and your stomach is full",par jab tumhaara pet bhara ho aur sooraj chamak raha ho to isse koi farak nahin padta
