id,translatedSet,src,tgt
6694,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"नदी में और प्राणी भी होंगे , तुम्हें उनके साथ रहना सीखना होगा","There will be more animals in the river, you must learn to live with them "
6693,Test User 901 | How to be an Otter PE L3 | Hindi -> English,चट्टानें भी हैं जिन पर लेट कर तुम झपकी ले सकते हो,There are rocks on which you can sleep 
6692,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"यहाँ तुम्हारे खोदने के लिए रेत है , छिपने के लिए बहुत सारी जगहें हैं","There's sand for you to dig here , and there's a lot of hiding places for you"
6691,Test User 901 | How to be an Otter PE L3 | Hindi -> English,नदी तुम्हारा खेल का मैदान भी है,The river is also the playground for your game 
6690,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"अपने बड़ों की बात सुनो , क्योंकि नदी के बारे में उन्हें सब कुछ पता है","Listen to your elders, because they know everything about the river"
6689,Test User 901 | How to be an Otter PE L3 | Hindi -> English,घर के बड़े बच्चों की रक्षा करेंगे,The elders will protect the  children of the group 
6688,Test User 901 | How to be an Otter PE L3 | Hindi -> English,तुम एक - दूसरे की रक्षा भी करोगे,You'll also protect each other
6687,Test User 901 | How to be an Otter PE L3 | Hindi -> English,तुम एक साथ शिकार करोगे और खेलोगे,You're going to hunt and play together
6686,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"एक परिवार की तरह , तुम एक समूह में रहोगे","You'll be in a group, like a family"
6685,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"यहीं , नदी के तट पर , तुम अपने परिवार के लिए माँद खोदोगे","Here, on the banks of the river, you will make a burrow for your family"
6684,Test User 901 | How to be an Otter PE L3 | Hindi -> English,नदी तुम्हारा घर है,The river is your home 
6683,Test User 901 | How to be an Otter PE L3 | Hindi -> English,"पर याद रखो , कभी भी मरी हुई मछली को मत खाना","But remember, never eat a dead fish "
6682,Test User 901 | How to be an Otter PE L3 | Hindi -> English,सभी मछलियों को पकड़ना आसान नहीं है,It's not easy to catch all fishes
6681,Test User 901 | How to be an Otter PE L3 | Hindi -> English,यहाँ तक कि कुछ ऐसी भी होंगी जिनकी बिल्ली की तरह मूँछे होती हैं,"Infact, some will have moustache like a cat as well "
6680,Test User 901 | How to be an Otter PE L3 | Hindi -> English,ऐसी मछलियाँ भी तुम देखोगे जो साँप की तरह लगती हैं,You'll see fishes that look like snake 
