,translatedSet,src,tgt,user,type,level,story,direction,score,bleu-1,bleu-2,bleu-3,bleu-4
0,Test User 1001 | A Helping Hand PE L4 | Hindi -> English,"थोड़ी सी मदद प्रिय जो भी हो , तुम जानती ही हो कि तुम कौन हो और यूँ भी तुम यह पत्र कभी नहीं देख पाओगी मैडम ने कहा था कि मुझे तुम्हारी मदद करनी है और तुम्हें यह दिखाना है कि स्कूल में कौन सी जगह कहाँ है , क्योंकि तुम स्कूल में नई आई हो लेकिन उन्होंने मुझे इस बारे में और कुछ नहीं बताया था स्कूल से घर लौटते हुए अली , गौरव , सुमी और रानी , मुझसे बार - बार मेरी इस नई ज़िम्मेदारी के बारे में पूछते रहे मैंने बात टालने की कोशिश की , लेकिन मुझे तो मालूम था कि मुझे क्या काम सौंपा गया है मैंने उनसे कहा कि पता नहीं तुम लोग किस चीज़ के बारे में बात कर रहे हो लेकिन यह बात सच नहीं थी मुझे अच्छी तरह पता था कि वे किस के बारे में पूछ रहे हैं देखो न , तुम्हारी वजह से मुझे अपने दोस्तों से झूठ बोलना पड़ा तुम्हारा , मैं कहो कैसी हो , माँ कहती है कि लोगों को घूरना अच्छी बात नहीं है लेकिन मैं तो देखता हूँ कि सभी तुम्हें घूरते हैं वे मुझे भी घूरते हैं क्योंकि मुझे तुम्हारे साथ रहना होता है , तुम्हारा ध्यान रखने के लिए तुम हमारे स्कूल में क्यों आइं तुमने अपनी पढ़ाई उसी स्कूल में जारी क्यों नहीं रखी जहाँ तुम पहले पढ़ती थीं जानती हो कल क्या हुआ गौरव , अली और सातवीं कक्षा के उनके दो और दोस्त स्कूल की छुट्टी के बाद मेरे पीछे पड़ गए तुम समझ ही गई होगी कि वह क्या जानना चाहते होंगे उन्होंने मेरा बस्ता छीन लिया और वापस नहीं दे रहे थे बाद में उन्होंने उसे सड़क किनारे झाड़ियों में फेंक दिया उसे लाने के लिए मुझे घिसटते हुए ढलान पर जाना पड़ा मेरी कमीज़ फट गई और माँ ने मुझे डाँटा यह सब तुम्हारी ही वजह से हुआ मैं हैलो , मैं सबसे कहता हूँ कि वे जो कुछ भी जानना चाहते हैं ख़ुद तुमसे ही पूछ लें मुझसे पूछने का क्या मतलब मुझे कैसे पता हो सकता है कि तुम्हारे पास वह चीज क्यों है और वह कैसे काम करती है सच कहूँ तो ख़ुद मैं भी यह बात जानना चाहता हूँ और मेरे मन में भी वही सवाल हैं जो लोग तुम्हारे बारे में मुझसे पूछते हैं हाँ , मैंने पहले दिन ही , जब तुम कक्षा में आई थीं , गौर किया था कि तुम एक ही हाथ से सारे काम करती हो और तुम्हारा बायाँ हाथ कभी हिलता भी नहीं पहले - पहल मुझे समझ में नहीं आया कि इसकी वजह क्या है फिर , जब मैं और नजदीक आया , तब देखा कि कुछ है जो ठीक सा नहीं है वह अजीब लग रहा था , जैसे तुम्हारे हाथ पर प्लास्टिक की परत चढ़ी हो मैं समझा कि यह किसी किस्म का खिलौना हाथ होगा मुझे बात समझने में कुछ समय लगा इसके अलावा , खाने की छुट्टी के दौरान जो हुआ वह मुझसे छुपा नहीं था फिर मिलेंगे मैं","Some help dear whatever happens , you know who you are and even though you will never be able to see this letter Madam said , "" I have to help you and show you what is where in school , because you are new to the school But they didn't tell me anything else about this on the way back from school to home, Gaurav, Ali, Sumee, and Raani kept on asking me about this responsibility repeatedly I tried to avoid the topic but I was aware of the task I was given I told them, I don't know what are you talking about But it was not true I knew very well who were they asking about Look, I had to lie to my friends because of you mother says it's not a good thing to stare at other people but I see that everybody stares at you they also stare at me because I have to stay with you to take care of you Why do you come to our school ? Why did you not keep going to the school where you were going earlier do you know what happened yesterday? Gaurav, Ali and their two more friends from seventh grade came after me after school was over you must have understood what they wanted to know They snatched my bag and were not returning it Later they threw it into the bushes on the roadside . I had to drag on the slope to bring it  My shirt is torn and mother scolded me All this happened because of you . I say hello, I tell everybody to ask you whatever they want to know what's the point of asking me How can I know why you have it and how it works Honestly, even I want to know and I have these questions in my mind which other people ask me about you yes, on first day itself, when you came to class, I observed that you did all your work with one hand and your left hand did not even move At first I did not understand what is the reason Then , when i came closer, I saw something didn't seem right It looked strange , like a plastic layer on your hand .  I thought it was a kind of toy hand It took me sometime to understand other than this, what happened during lunch break is not a secret to me See you again I am",Test User 1001 ,PE,L4,A Helping Hand,Hindi -> English,0.9980106507683144,1.0,1.0,0.9671891933696003,0.9353968644371782
1,Test User 1001 | All Aboard PE L2 | Hindi -> English,"मुझे पीला - पीला कुछ दिख रहा है अब मेरी बारी है , माँ ने कहा नीना ने किताब नीचे रख दी और उनकी बातें सुनने लगी बाबा तालियाँ बजाते हुए बोले सही जवाब है सूटकेस माँ ने पूछा सूटकेस पहाड़ियाँ मेरे जूते मुझे कुछ दिखाई दे रहा है जिसका रंग भूरा है , बाबा ने कहा मेरा पसंदीदा खेल , माँ बोली ओह बाबा ने कहना शुरू किया मैं देख रहा हूँ फिर बाबा मुस्कराए माँ और बाबा को कुछ समझ में नहीं आ रहा था कि वह और क्या कर सकते हैं नीना ने न में सिर हिलाते हुए कहा मैंने मना किया न नहीं टॉफ़ी खीरा खाएगी डंडी वाली आइसक्रीम चाहिए कोन वाली आइसक्रीम खाएगी कप वाली आइसक्रीम लेगी रेलगाड़ी में माँ और बाबा ने उसे मनाने की बहुत कोशिश की लेकिन नीना कुछ भी सुनने को तैयार ही नहीं है तुम्हें नये साथी - सहेली मिल जाएंगे और नया पुचकेवाला भी मिल जायेगा परेशान मत हो , नीना , बाबा बोले बाबा , आप कोलकाता में ही कोई दूसरी नौकरी क्यों नहीं ढूँढ लेते यहाँ जैसे बढ़िया पुचके मुझे कहाँ मिलेंगे मेरे सारे दोस्तों - सहेलियों को मेरी याद ज़रूर आयेगी नीना ने पूछा क्या हमें सचमुच यहाँ से जाना ही पड़ेगा उसका परिवार कोलकता से दिल्ली जा रहा है , क्योंकि उन्हें अब वहीं रहना है लेकिन वह ज़रा भी ख़ुश नहीं है नीना पहली बार रेल से सफ़र करने जा रही है","I see something yellow Now it's my turn , said mother . Neena put the book down and started listening to them Baba said clapping his hands The correct answer is suitcase Maa asked Suitcase Mountains My shoes I see something that is brown in colour , said baba , My favorite game , maa said Oh Baba started saying I 'm looking  then baba smiled Maa and baba could not think what else they could do Neena shook her head from side to side I said I don't  No candy will you eat cucumber do you want ice cream on a stick or will you eat ice cream in a cone will you have an ice cream cup Maa and baba try to convince her in the train but Neena does not want to hear a thing You will find new friends and you will also find new puchkawala ""dont worry, Neena"", baba said Baba , why don't you find another job here in Kolkata where will I get such good puchka's  all my friends will surely miss me Neena asked Do we really have to go away from here her family is going from Kolkata to Delhi because they have to live there now. but she is not even a bit happy Neena will be travelling by the train for the first time",Test User 1001 ,PE,L2,All Aboard,Hindi -> English,0.9861906916115267,1.0,0.9789450103725609,0.9661900302685109,0.9745338166875658
2,Test User 1001 | At Least I'm Ok BL L3 | Hindi -> English,"खैर , हमें तो कोई दिक्कत नहीं है , जँगली बिल्लियों ने सोचा बेचारे कछुओं के साथ बहुत बुरा हुआ लेकिन बड़ी चट्टान अब ज़्यादा बड़ी नहीं लगती - पानी बढ़ने से उसका काफ़ी बड़ा हिस्सा अब डूब चूका है क्या पता , हम तो बस इतना जानते हैं कि पहले रेत बड़ी चट्टान तक हुआ करती थी , बड़े , बुज़ुर्ग कछुए ने कहा रेत भला कहाँ चली गई कछुए रेतीले समुद्री तटों पर अण्डे देते हैं यहाँ हमारे लिए बहुत थोड़ी रेत बची है , कछुओं ने कहा जँगली बिल्लियों ने पूछा क्यों तुम लोग तो यहाँ खुश ही थे न लेकिन फिर एक दिन , कछुए भी अपना घर - बार छोड़ कर जाने लगे सभी जीव जल्दी ही व्हेलों को भूल गए व्हेलों को मेरे जैसा बनने की कोशिश करनी चाहिए बहुत ज़्यादा गर्मी हो या ठण्ड , मुझे कोई फर्क नहीं पड़ता उँह , बेकार के नखरे दिखा रही हैं , उना ने मन ही मन सोचा कम से कम हमें तो कोई दिक्कत नहीं है , कछुओं ने सोचा लेकिन उन्होंने इसके बारे में ज़्यादा सोच - विचार नहीं किया कछुओं को व्हेलों के सुरीले गीतों की कमी खलेगी व्हेलें ठण्डे पानी में रहना पसंद करती हैं और साकूलैंड का पानी उनके लिए ज्यादा ही गर्म हो गया था हमें उत्तर की तरफ और आगे जाना होगा जहाँ मौसम ठण्डा रहता है हमारे लिए पानी कुछ ज़्यादा ही गरम हो गया है , व्हेलों ने कहा पथरीली पहाड़ी पगडंडियों पर ऊपर चढ़ना - उतरना काफ़ी कठिन काम था और इसमें समय भी बहुत लगता था उना बाकी जीवों से काफ़ी ऊपर , एक पहाड़ की चोटी पर रहती थी और सभी के पीने के लिए साफ , ठण्डा पानी भी था वहाँ खरगोशों और हिरनों के लिए घास थी , चिड़ियों और भालुओं के नाश्ते के लिए कीड़े - मकोड़े थे , और मगरमच्छों और जँगली बिल्लियों के लिए मछलियाँ थीं सब जीवों को अपना देश साकूलैंड प्यारा लगता था वह समुद्रतट से जँगलों तक , घाटियों से पहाड़ों तक फैला था साकूलैंड एक अनोखा देश था पहाड़ी बकरी उना साकूलैंड में रहती थी हमें तो कोई दिक्कत नहीं है अपने यहाँ तो बहुत अच्छा लगता है कछुओं ने पूछा क्यो एक दिन , व्हेलों ने , जो कि साल का ज़्यादातर समय साकूलैंड के समुद्र में बिताती थीं , ऐलान किया कि वे कहीं और रहने जा रही हैं लेकिन जीवों ने इस ओर ध्यान ही नहीं दिया धीरे - धीरे , साकूलैंड की जलवायु बदलने लगी लेकिन उना को लगता था कि मेरा ही तरीका सबसे अच्छा है सभी जीवों के काम करने के अपने ही मनपसन्द तरीके थे मैं तो जाती हूँ , उना सोचती क्या वह अकेले धारा तक पानी पीने भी नहीं जा सकते उन सब को सब कुछ साथ में ही क्यों करना होता है कभी - कभी उना को लगता था कि बाकी जानवर ज़रा बेवकूफ से हैं बल्कि उसे अकेले रहना ही अच्छा लगता था - अकेले रहते हुए वह जो चाहे , जब चाहे , कर सकती थी उना बाकी जानवरों के साथ कम ही समय बिताती थी और उसे अकेले रहने की आदत पड़ गई थी","Well, we don't have any problem, thought the wild cats. Too bad for the tortoises'. But the big rock does not seem so big now - because of the rise in water level, a lot of the big rock is under water now. ""Who knows? All we know is that earlier the sand used to be till the big rock"", said the big, old tortoise. Where did the sand go? Tortoises' lay eggs on sandy coastlines. There is little sand left for us here, said the tortoises'. asked the wild cats. Why? Weren't you guys happy here? But one day, tortoises' too left their home and started to leave. All the living beings soon forgot the whales. Whales should try to be like me. Too warm or too cold, it does not matter to me. Uh, showing silly tantrums, Oona thought. At least we don't have any problem, tortoises' thought. But they did not think too much of it. Tortoises' will miss the melodious songs of the whales. Whales like to live in cold water and the water of Saakooland had become too warm for them. We will have to go further north where the weather will be cold. The water is too warm for us, said the Whales. It was hard to climb up and down the rocky mountain trails and it took a lot of time too.  Oona lived high up on top of a mountain, away from other living beings. and clean, cold water for everyone to drink.  It had green grass for the rabbits and deer's, bugs to snack on for birds and bears, fish for crocodiles and wild cats All the living beings loved their country Saakooland. It stretched from coastline to jungles, from valleys to mountains. Saakooland was a unique country. Mountain goat Oona lived in Saakooland. We don't have any problem. It's quite nice here. asked the tortoises'. Why? One day, Whales, who spend majority of the year in the sea of Saakooland declared they were leaving to live elsewhere. but the living beings did not pay attention to it. Gradually, the climate of Saakooland's climate began to change. but Oona thought her way was the best way. All the living beings had their own way of doing things. I go, she thought. Can they not go to the stream on their own to drink water? Why do they want to do everything together? Sometimes she felt the other animals were a bit dumb. Rather she liked being alone - being alone, she could do whatever she wanted, whenever she wanted. Oona spend less time with other animals and she had gotten used to being alone.",Test User 1001 ,BL,L3,At Least I'm Ok,Hindi -> English,0.9964655414743915,1.0,1.0,1.0,1.0
4,Test User 1001 | How to be an Otter PE L3 | Hindi -> English,"याद रखो , नदी हमेशा तुम्हारा घर रहेगी तुमको बहुत शीघ्रता से सब सीखना होगा और अपनी सूझबूझ पर भरोसा रखना होगा हो सकता है कल तुम्हारे पसंदीदा रेतीले तट गायब हो जाएँ , वैसे ही जैसे हो सकता है , वे बारिश के मौसम में वापस दिखने लगें नदी के जीवन में बदलाव आते रहते हैं किसी भी चमकती , धातु की वस्तु के पास मत जाना या कौतुहलवश उसे छूने की कोशिश मत करना ऐसी किसी भी चीज़ से दूर रहना जो नदी में नहीं रहती - वह तुमको पकड़ने के लिए बिछाया कोई जाल हो सकता है उनसे दूर ही रहना और फिर वह तुमसे दूर रहेगा अपने परिवार के भरण - पोषण के लिए , हमारी ही तरह मछुआरे को भी मछलियों की ज़रूरत होती है मछुआरा तुम्हारा मित्र हो सकता है , पर उसके जाल से बचकर रहना उन्हें परेशान मत करना दुष्ट मगरमच्छों को अकेले रहना पसंद है तुम्हारे साथ नदी में विशाल बगुले , शर्मीले कछुए , अजीब से दिखने वाले हवासील , शांत रहने वाली बत्तखें और मनमौजी दुष्ट मगरमच्छ भी होंगे नदी में और प्राणी भी होंगे , तुम्हें उनके साथ रहना सीखना होगा चट्टानें भी हैं जिन पर लेट कर तुम झपकी ले सकते हो यहाँ तुम्हारे खोदने के लिए रेत है , छिपने के लिए बहुत सारी जगहें हैं नदी तुम्हारा खेल का मैदान भी है अपने बड़ों की बात सुनो , क्योंकि नदी के बारे में उन्हें सब कुछ पता है घर के बड़े बच्चों की रक्षा करेंगे तुम एक - दूसरे की रक्षा भी करोगे तुम एक साथ शिकार करोगे और खेलोगे एक परिवार की तरह , तुम एक समूह में रहोगे यहीं , नदी के तट पर , तुम अपने परिवार के लिए माँद खोदोगे नदी तुम्हारा घर है पर याद रखो , कभी भी मरी हुई मछली को मत खाना सभी मछलियों को पकड़ना आसान नहीं है यहाँ तक कि कुछ ऐसी भी होंगी जिनकी बिल्ली की तरह मूँछे होती हैं ऐसी मछलियाँ भी तुम देखोगे जो साँप की तरह लगती हैं तुम्हें पानी में छोटी मछलियाँ और बड़ी मछलियाँ मिलेंगी धीरे - धीरे तुम्हें मछलियों की गंध और बदबूदार मछलियाँ भी अच्छी लगने लगेंगी मछलियों के बारे में जानना ज़रूरी है यह पानी को अन्दर नहीं जाने देता जिससे ठंडे पानी में तैरते समय भी तुम्हें गर्माहट महसूस होती है अपनी रोएँदार खाल का ध्यान रखो इसमें तुम्हारे झिल्लीदार पैर और लंबी चप्पू जैसी पूँछ तुम्हारी मदद करेगी ऐसा कि मछली पकड़ सको और किसी भी तरह के खतरे से बच सको अच्छे तरीके से तैरना सीखो तैरना सीखो ऊदबिलाव बनने के गुण","Remember , the river will always be your home . You have to learn very quickly and trust your understanding . Maybe your favorite sandy beaches will disappear , as it may be , they may reappear in rainy season the river's life changes do not go near any shining, metal object or try to touch it out of curiosity stay away from anything that does not live in the river - it could be a trap to catch you stay away from them and they will stay away from you the fishermen also need fish to maintain and feed their family the fisherman can be your friend, but beware of his net  don't disturb them evil crocodiles like to live alone there will be large herons, shy tortoises, strange looking pelicans, quiet ducks and temperamental, evil crocodiles in the water with you  there will be other living beings in the river, you will have to learn to live with them There are even rocks where you can lie down to take naps. There is sand here for you to dig and lots of places to hide The river is also a place for you to play . Listen to your elders , because they know everything about the river the adults of the home will protect the kids You 'll also protect each other You will hunt and play together Like a family , you 'll live in a group Here , on the banks of the river , you will dig a burrow for your family The river is your home . But remember , never eat a dead fish . It 's not easy to catch all kinds of fish . there are some which even have whiskers like cat you will also see fish which look like snake You 'll get small fish and big fish in water Slowly , the smell of fish and stinky fishes will also appeal to you. it's important to know about fish It does not allow water to go in so you feel warm even when you swim in cold water. take care  of your furry skin . your webbed feet and long ore like tail will help you with this . So you can catch fish and avoid any danger learn to swim well learn to Swim Traits to become an Otter",Test User 1001 ,PE,L3,How to be an Otter,Hindi -> English,0.9976333288182342,1.0,1.0,1.0,1.0
6,Test User 1001 | My Best Friend PE L1 | Hindi -> English,"मैं जानती हूँ हम दोनों फ़िर सपने में मज़े करेंगे अब मैं नहीं रूठती सवेरे - सवेरे मेरी सहेली फ़िर शीशे में छुप जाती है जब मैं उससे बातें करती हूँ , वह भी मुझसे बातें करती है हम खेलते हैं , हम भागते हैं और शोर मचाते हैं और हम खूब मस्ती करते हैं तब वह शीशे से बाहर आती है - मेरे सपनों में रूठकर मैं सो जाती हूँ  मगर वह नहीं आती हम खेलेंगे  मैं कहती रहती हूँ बाहर आओ मेरी सहेली मेरे शीशे में बन्द है मगर उसकी आवाज़ नहीं आती जब मैं रोती हूँ , वह भी रोती है जब मैं खुश होती हूँ , वह भी खुश होती है वह मेरे ही घर में रहती है मेरी एक सहेली है मेरी सहेली","I know we will have fun in dreams.. Now I don't feel angry. Early morning, my friend hides in the mirror again. When I talk with her , she also talks with me . We play, we run and make noise And we have a lot of fun . Then she comes out of the mirror - in my dreams Feeling angry and sad, I go to sleep But she doesn't come . we will play I keep on saying Come out My friend is locked in my mirror .  But her voice does not come . When I cry , she cries too When I am happy , she is also happy   She lives in my house . I have a friend   My friend",Test User 1001 ,PE,L1,My Best Friend,Hindi -> English,0.9961467250209586,0.967741935483871,0.9379580992210836,0.8841864227197949,0.8485417144171399
7,Test User 1001 | My Home MT L1 | Hindi -> English,"यह मेरा घर है मैं यहाँ अपने पूरे परिवार के साथ रहती हूँ हम अपने जूते और चप्पल यहाँ उतारते हैं यहाँ हम अपने हाथ - मुँह धोते हैं मैं अपने कपड़े खूँटी पर टाँगती हूँ मेरे दादा जी अपनी छड़ी कोने में रखते हैं हम अपनी चटाइयाँ भी वहीं रखते हैं मेरे पिता जी अपनी मोटरसाइकिल बाहर रखते हैं लेकिन उनका हेल्मेट अलमारी के ऊपर रहता है मेरी माँ और दादी अपनी साड़ियाँ बक्से में रखती हैं स्वादिष्ट खाना रसोईघर में पकता है जब ठंड पड़ती है तो हम रज़ाइयाँ निकाल लेते हैं जब गर्मी पड़ती है तो हम एक पंखा चला लेते हैं जब हमारे यहाँ ख़ास मेहमान आते हैं तो हम कुर्सियाँ निकालते हैं तुम मेरे घर ज़रूर आना , मुझसे मिलने जल्दी आना","This is my house  I live here with my entire family we remove our footwear here Here we wash our hands and face I hang my clothes on hook My grandfather keeps his walking stick in the corner we also keep our mats there my father parks his motorcycle outside  but his helmet is kept over the cupboard my mother and grandmother keep their sarees in  the box  delicious food is prepared in the kitchen .  when it is cold, we take out the blankets when it is hot , we turn on the fan when special guests come, we bring out the chairs Do come to my house to meet me come soon",Test User 1001 ,MT,L1,My Home,Hindi -> English,0.9938989267874963,1.0,1.0,1.0,1.0
8,Test User 1001 | The Moon and The Cap BL L1 | Hindi -> English,"ज़रा ढूँढिये आज मैंने कौन सी टोपी पहनी है क्या सूरज को टोपी की ज़रूरत है आपका क्या ख्याल है हम खुश थे उस रात , चाँद और मैं , दोनों ने अपनी टोपियाँ पहनीं और मुस्कराए चाँद ने भेजी है , माँ ने कहा अगले दिन , स्कूल के बाद , माँ ने मुझे एक नई चमकती लाल टोपी दी मैं भी मुस्कराया चाँद ने मेरी टोपी पहनी और खुशी से मुस्कराया उसने पुराने पीपल पर मेरी टोपी देखी देर रात में , चाँद निकला और रात का खाना भी नहीं खाया मैं खूब रोया मेरी टोपी एक पुराने पीपल के पेड़ की डाली पर जा लटकी वह मेरी टोपी उड़ा ले गई घर जाते समय ज़ोर की हवा चली माँ ने मेरे लिए एक चमकती नीली टोपी खरीदी और मुन्नी को मिली टॉफ़ी पापा ने चिन्टू के लिए फ़ैंसी चश्मे खरीदे हम सब दशहरा का मेला देखने गए चाँद का तोहफ़ा","Find which hat I am wearing today. Does sun need  a hat? What do you think? We were happy. That night, Moon and I, both wore our hats and smiled. ""Moon has sent it"",she said. Next day,  after school, Maa gave me a new sparkling red hat. I smiled too. Moon wore my hat and smiled happily. It saw my had on the old Peepal tree. Late night, moon rose. and did not even eat dinner. I cried a lot My hat hung on the branch of an old Peepal tree. It blew my hat away. Wind blew hard on the way home. Maa bought a sparkling blue hat for me a and Munee got toffee. Papa bought a fancy pair of glasses for Chintoo. We all went to see the Dushehra fair. Moon's gift.",Test User 1001 ,BL,L1,The Moon and The Cap,Hindi -> English,0.9911530940929469,1.0,1.0,1.0,1.0
9,Test User 1001 | The Rabbit's Long Ears BL L2 | Hindi -> English,"उसी दिन से खरगोश की दुम छोटी सी रह गई और उसके कान लम्बे हो गए सियार के खींचने से उसके कान लम्बे हो गए उसकी पूँछ कट कर बिल के अन्दर रह गई दर्द के मारे खरगोश उछल पड़ा इधर - उधर हिलता देख कर केंकड़े ने खरगोश की पूँछ को फिर ज़ोर से काटा सियार ने खरगोश के दोनों कान पकड़े और खींचने लगा खरगोश ने उससे कहा , अब देखो मत , मुझे ज़ोर से खींचो , मेरी पूँछ अन्दर फँसी हुई है खरगोश का चिल्लाना सुन कर सियार दौड़ा आया खरगोश चिल्लाया बिल में बैठे केंकड़े ने पूँछ को ज़ोर से काटा और जकड़ लिया उसका हाथ न पहुँच पाने पर खरगोश ने अपनी पूँछ को बिल में डाला बिल गहरा था उसने ध्यान से बिल में हाथ डाला यह एकदम सही रहेगा , खरगोश ने सोचा एक मोटा केंकड़ा अन्दर बैठा था उसने बिल में झाँक कर देखा चलते - चलते खरगोश को कीचड़ में केंकड़े का एक बिल दिखा सियार एक ओर गया और खरगोश दूसरी ओर गया तुरंत ही दोनों मित्र केंकड़े की खोज में निकल पड़े खरगोश ने कहा कि चल कर एक केंकड़ा लाया जाए अब उसकी इच्छा केंकड़ा खाने की है उसे कुछ भी खाना नहीं भा रहा है सियार ने खरगोश को बुला कर कहा , ए दोस्त , मेरी पत्नी को तेज़ बुख़ार है एक दिन सियार की पत्नी को बुख़ार आया सियार और खरगोश बहुत अच्छे मित्र थे",,Test User 1001 ,BL,L2,The Rabbit's Long Ears,Hindi -> English,0.0,0.0,0.0,0.0,0.0
10,Test User 1001 | Turtle Story MT L4 | Hindi -> English,"कछुआ सुबह जब मेरी आँख खुली तो आसमान में सूरज चम - चम चमक रहा था हैरान होकर मैंने अपने आसपास देखा पहले तो चकरा गई कि मैं हूँ कहाँ फिर एकदम याद आया कि मैं एक छोटा सा समुद्री कछुआ हूँ - एक ऑलिव रिडले एक असीम नीले संसार के बीचोंबीच , जिसे लोग सागर कहते हैं चारों ओर नीला , हरा पानी लहरा रहा था और सूरज की किरणें बादलों के साथ खेल - ठिठोली कर रही थीं मैनें अपने मीनपक्षों ( फ़्लिपर ) १ को पेट त¬ले समेटा और धारा में बह निकली मुझे नहीं मालूम था कि मैं कहाँ हूँ लेकिन जब आसपास नर्म - नर्म धूप बिछी हो और पेटपूजा हो चुकी हो तो ऐसी बातों की क्या चिंता गुनगुनी धूप में मैं भी गुनगुनी हो गई एक नई स्फूर्ति आ गई थी मुझमें काश कि मैं हमेशा - हमेशा के लिए यहीं रह सकती - सोच ही रही थी कि मछलियों का एक झुंड मेरे पास होकर तेज़ी से निकला एक बहुत बड़ी मछली उनके पीछे पड़ी थी बहुत भूखी लगती थी वह मेरा शक सही था जब उसकी नज़र मुझ पर पड़ी तो उसकी बाँछें खिल गईं भई वाह आज तो नन्हे कछुए का शोरबा मिलेगा खाने में शायद वह यही सोच रही थी १ ( फ़्लिपर ) कछुए के पर जिनके सहारे वह पानी में तैरता है तब तो मानो मैं सर पर पैर रख कर तैरने लगी आगे - आगे मैं और पीछे - पीछे बड़े - बड़े दाँतों का वह जबड़ा तैरते - तैरते थक गई थी मैं तभी मुझे समुद्री शैवाल का एक बेड़ा दिखाई दिया शैवाल और बहती हुई लकड़ी का यह बेड़ा न जाने कहाँ से चला आ रहा है इस बेड़े पर समुद्र में रहने वाले छोटे - बड़े जीव - जंतु सवार रहते हैं , वर्षों सागर की सैर करते हैं जैसे किसी ख़ास वक्त का इंतज़ार कर रहे हों मैंने राहत की साँस ली और चढ़ गई बेड़े पर इस बेड़े पर मैं सालों - साल रहने वाली थी - सुखी और सुरक्षित बेड़े पर मेरा जीवन किसी विश्व - यात्रा से कम नहीं था बहुत मज़ा आ रहा था लेकिन अब मैं बड़ी भी तो हो रही थी बाहर की दुनिया की सैर करना चाहती थी प्रवालभित्ति या रीफ़ के बारे में मैंने कैसी - कैसी मज़ेदार कहानियाँ सुनी थीं बहुत सारे कछुए रहते थे वहाँ सब कहते थे कि रीफ़ सागर का परीलोक है कितने ही रंग - बिरंगे , चमकीले प्राणियों का घर - क्लाउन मछली जैसे प्यारे और स्कॉरपियन मछली जैसे ज़हरीले जंतु रहते थे वहाँ लेकिन मुझे कैसे पता चलेगा कि वह कहाँ है फिर एकाएक अँधेरा छा गया एक बहुत बड़ी छाया ने मुझे ढक लिया डर के मारे मैंने ऊपर देखा वह एक विशालकाय कछुआ था - इतना बड़ा तो मैंने कभी नहीं देखा था",,Test User 1001 ,MT,L4,Turtle Story,Hindi -> English,0.0,0.0,0.0,0.0,0.0
11,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मेरी आँख खुली मुझे प्यास लगी थी पानी लाने के लिए मैंने अपनी चप्पल ढूँढी हाय मेरे पलंग के नीचे शेर है अब क्या करूँ माँ को बुलाऊँ कहीं शेर दहाड़ने लगा तो फिर से सो जाऊँ मगर नींद नहीं आती अचानक किसी ने बत्ती जलाई दरवाज़े पर माँ खड़ी हैं क्या बात है बेटा माँ कहती हैं मुझे बुलाया था मैं शेर की ओर इशारा करता हूँ माँ झुकती हैं और शेर को खींचकर बाहर निकालती हैं अरे कोई शेर - वेर नहीं है यह तो मेरा मोटा पीला - काला स्वेटर है इसके बटन शेर की आँखों की तरह चमकते हैं मैं तो ऐसे ही डर गया माँ मुझे पानी पिलाती हैं अब मैं सो जाऊँगा जंगल में असली शेरों के सपने जो देखने हैं,"My eyes opened I was thirsty .  I searched for my slippers to bring water oh There is a lion under my bed  Now what to do  Shall I call the mother? what if the lion roars again sleep again .  But there was no sleep  Suddenly , someone turned on the light  Mother is at the door What 's the matter, son? Mother says  I was called  I point towards the lion  Mother bends and pulls the lion out  Hey  Not a lion  This is my thick yellow - black sweater  Its buttons are shining like the lion 's eyes  I got scared just like that mom gives me water  Now I will go to sleep  dream about the real lions of the jungle",Test User 1001 ,MT,L2,Under My Bed,Hindi -> English,0.9934867036416414,1.0,0.9534625892455924,0.7303709815197171,0.5586536422204545
